time,A2022,time,B2052,time,C2047,,,
60.5,4.97416,60.5,4.96599,60.5,0.0337013,4.9322887,4.9409452,24.37016818
60.9999,4.97396,60.9999,4.96569,60.9999,0.0344731,4.9312169,4.939956,24.35999451
61.4999,4.97336,61.4999,4.96504,61.4999,0.0348428,4.9301972,4.93899,24.35019467
61.9999,4.97336,61.9999,4.96496,61.9999,0.0358113,4.9291487,4.9380115,24.34019297
62.5,4.97243,62.5,4.964,62.5,0.0358136,4.9281864,4.9370331,24.33061938
63,4.97192,63,4.9634,63,0.0362759,4.9271241,4.9360605,24.32058265
63.5,4.97174,63.5,4.96322,63.5,0.037109,4.926111,4.9351222,24.31095976
63.9999,4.97116,63.9999,4.96253,63.9999,0.0375398,4.9249902,4.9341343,24.30056307
64.4999,4.97063,64.4999,4.96188,64.4999,0.037849,4.924031,4.9332189,24.29132279
64.9999,4.97028,64.9999,4.96147,64.9999,0.0385829,4.9228871,4.9322656,24.2809867
65.5,4.96966,65.5,4.96082,65.5,0.0388833,4.9219367,4.931306,24.27157598
66,4.96962,66,4.96065,66,0.0397554,4.9208946,4.9303044,24.2615083
66.4999,4.96885,66.4999,4.9599,66.4999,0.0400436,4.9198564,4.9293631,24.2517586
66.9999,4.9683,66.9999,4.95925,66.9999,0.040489,4.918761,4.9283406,24.24132954
67.4999,4.96828,67.4999,4.95914,67.4999,0.0414485,4.9176915,4.9272719,24.23080314
68,4.96731,68,4.95808,68,0.0415497,4.9165303,4.9261866,24.21974568
68.5,4.96671,68.5,4.95747,68.5,0.0420426,4.9154274,4.9252347,24.2096336
68.9999,4.96648,68.9999,4.95713,68.9999,0.0428875,4.9142425,4.924151,24.19847212
69.4999,4.96601,69.4999,4.95659,69.4999,0.043471,4.913119,4.92311,24.18782528
69.9999,4.96545,69.9999,4.95602,69.9999,0.0438606,4.9121594,4.9221253,24.17826406
70.5,4.96511,70.5,4.95557,70.5,0.0446086,4.9109614,4.9210862,24.16726437
71,4.96438,71,4.95471,71,0.0450226,4.9096874,4.9199392,24.1553635
71.5,4.96416,71.5,4.95448,71.5,0.0458466,4.9086334,4.9189313,24.14523047
71.9999,4.96377,71.9999,4.95402,71.9999,0.0465114,4.9075086,4.9178123,24.13420616
72.5,4.96283,72.5,4.953,72.5,0.0465695,4.9064305,4.9167647,24.12376429
72.9999,4.9627,72.9999,4.95285,72.9999,0.047575,4.905275,4.915692,24.11282108
73.4999,4.96202,73.4999,4.95207,73.4999,0.047878,4.904192,4.914658,24.10242645
73.9999,4.96141,73.9999,4.95144,73.9999,0.0483688,4.9030712,4.913625,24.09185323
74.5,4.96104,74.5,4.951,74.5,0.0490349,4.9019651,4.9125793,24.08129228
74.9999,4.96066,74.9999,4.95048,74.9999,0.0497668,4.9007132,4.9114145,24.06943387
75.5,4.95966,75.5,4.94947,75.5,0.0498485,4.8996215,4.9103695,24.05895198
76,4.95937,76,4.94911,76,0.0506796,4.8984304,4.9093185,24.04795498
76.5,4.9591,76.5,4.9488,76.5,0.0515336,4.8972664,4.9082079,24.03680163
76.9999,4.95856,76.9999,4.94822,76.9999,0.0520909,4.8961291,4.9070545,24.02557233
77.4999,4.95784,77.4999,4.9474,77.4999,0.0524318,4.8949682,4.9060095,24.01476049
77.9999,4.95731,77.9999,4.94678,77.9999,0.0530038,4.8937762,4.904901,24.00348778
78.5,4.9571,78.5,4.94656,78.5,0.0540447,4.8925153,4.9037092,23.99147229
78.9999,4.95649,78.9999,4.94578,78.9999,0.0544392,4.8913408,4.9026294,23.98043121
79.4999,4.9558,79.4999,4.94515,79.4999,0.0549912,4.8901588,4.9014948,23.96908793
79.9999,4.95529,79.9999,4.94456,79.9999,0.0555809,4.8889791,4.9002964,23.95744668
80.5,4.95477,80.5,4.94392,80.5,0.0561669,4.8877531,4.8992249,23.94620169
80.9999,4.95425,80.9999,4.94337,80.9999,0.0567778,4.8865922,4.8981068,23.93505048
81.4999,4.95351,81.4999,4.94259,81.4999,0.0571889,4.8854011,4.8970061,23.92383899
81.9999,4.95297,81.9999,4.94199,81.9999,0.0577551,4.8842349,4.8958772,23.91261429
82.4999,4.95259,82.4999,4.94154,82.4999,0.0585554,4.8829846,4.8946642,23.90056991
82.9999,4.95176,82.9999,4.94066,82.9999,0.0588927,4.8817673,4.8935346,23.88909719
83.5,4.95165,83.5,4.94043,83.5,0.0598933,4.8805367,4.8923762,23.87742159
83.9999,4.95087,83.9999,4.93959,83.9999,0.0602759,4.8793141,4.8912538,23.86596363
84.4999,4.95019,84.4999,4.93884,84.4999,0.0608285,4.8780115,4.8900868,23.85389965
84.9999,4.95005,84.9999,4.9387,84.9999,0.0618517,4.8768483,4.8889284,23.84256216
85.4999,4.9493,85.4999,4.93789,85.4999,0.0622971,4.8755929,4.8877532,23.8306948
85.9999,4.94838,85.9999,4.93687,85.9999,0.0624891,4.8743809,4.8865536,23.81892353
86.5,4.94825,86.5,4.93668,86.5,0.0635383,4.8731417,4.8853696,23.80709832
87,4.94792,87,4.93629,87,0.0643873,4.8719027,4.8841886,23.79529163
87.5,4.94685,87.5,4.93517,87.5,0.0645341,4.8706359,4.8830082,23.78335504
87.9999,4.94658,87.9999,4.93481,87.9999,0.0654844,4.8693256,4.881779,23.77097146
88.4999,4.94579,88.4999,4.934,88.4999,0.0658837,4.8681163,4.8806031,23.7593435
88.9999,4.94535,88.9999,4.93344,88.9999,0.0666983,4.8667417,4.8793043,23.7463137
