time,A3277,time,B3137,time,C2997,time,D2857,time,E2717,
85.4999,0.440387,85.4999,0.443954,85.4999,0.448515,85.4999,0.453128,85.4999,0.438426,
85.9999,0.439144,85.9999,0.444283,85.9999,0.449486,85.9999,0.454683,85.9999,0.438784,
86.5,0.441073,86.5,0.445269,86.5,0.449854,86.5,0.454101,86.5,0.439291,
87,0.440798,87,0.444895,87,0.451058,87,0.452762,87,0.439565,
87.5,0.441781,87.5,0.444441,87.5,0.449906,87.5,0.455048,87.5,0.439049,
87.9999,0.441856,87.9999,0.445108,87.9999,0.450474,87.9999,0.45512,87.9999,0.440076,
88.4999,0.441665,88.4999,0.4453,88.4999,0.452225,88.4999,0.455721,88.4999,0.439656,
88.9999,0.442661,88.9999,0.446457,88.9999,0.451313,88.9999,0.45606,88.9999,0.440929,
89.4999,0.443262,89.4999,0.447116,89.4999,0.452378,89.4999,0.456837,89.4999,0.441767,
89.9999,0.444656,89.9999,0.447322,89.9999,0.452223,89.9999,0.456232,89.9999,0.441689,
90.4999,0.443952,90.4999,0.448601,90.4999,0.453666,90.4999,0.455566,90.4999,0.443254,
90.9999,0.444214,90.9999,0.44766,90.9999,0.45252,90.9999,0.456608,90.9999,0.442581,
91.4999,0.445149,91.4999,0.448908,91.4999,0.453581,91.4999,0.457831,91.4999,0.442937,
91.9999,0.44413,91.9999,0.44933,91.9999,0.453925,91.9999,0.458156,91.9999,0.443745,
92.5,0.446089,92.5,0.448376,92.5,0.454826,92.5,0.458238,92.5,0.444161,
93,0.446652,93,0.449417,93,0.453685,93,0.458764,93,0.444846,
93.4999,0.445705,93.4999,0.449914,93.4999,0.455749,93.4999,0.459109,93.4999,0.4435,
93.9999,0.445199,93.9999,0.451517,93.9999,0.455035,93.9999,0.458717,93.9999,0.444897,
94.4999,0.446916,94.4999,0.451596,94.4999,0.455265,94.4999,0.459682,94.4999,0.444533,
94.9999,0.447719,94.9999,0.451178,94.9999,0.457505,94.9999,0.459728,94.9999,0.445038,
95.4999,0.448325,95.4999,0.45216,95.4999,0.457165,95.4999,0.460831,95.4999,0.4463,
95.9999,0.447368,95.9999,0.452181,95.9999,0.456967,95.9999,0.461334,95.9999,0.447496,
96.4999,0.448903,96.4999,0.451946,96.4999,0.457162,96.4999,0.459946,96.4999,0.447145,
96.9999,0.450514,96.9999,0.452139,96.9999,0.458125,96.9999,0.46213,96.9999,0.445642,
97.5,0.450267,97.5,0.453179,97.5,0.459108,97.5,0.461094,97.5,0.447449,
97.9999,0.450162,97.9999,0.453994,97.9999,0.458625,97.9999,0.461441,97.9999,0.448043,
98.5,0.45133,98.5,0.453867,98.5,0.459279,98.5,0.462728,98.5,0.449394,
99,0.450785,99,0.454182,99,0.459679,99,0.463146,99,0.449102,
99.4999,0.45149,99.4999,0.454427,99.4999,0.461901,99.4999,0.463639,99.4999,0.448833,
