
time,A3624,time,B1464,
212,106.851,212,40.2157,
212.5,106.868,212.5,40.2151,
213,106.885,213,40.2146,
213.5,106.903,213.5,40.2141,
214,106.92,214,40.2136,
214.5,106.937,214.5,40.213,
215,106.954,215,40.2125,
215.5,106.971,215.5,40.2119,
216,106.989,216,40.2113,
216.5,107.006,216.5,40.2108,
217,107.023,217,40.2102,
217.5,107.04,217.5,40.2096,
218,107.058,218,40.209,
218.5,107.075,218.5,40.2085,
219,107.092,219,40.2079,
219.5,107.109,219.5,40.2076,
220,107.127,220,40.2069,
220.5,107.144,220.5,40.2063,
221,107.161,221,40.2057,
221.5,107.178,221.5,40.2052,
222,107.195,222,40.2047,
222.5,107.213,222.5,40.2041,
223,107.23,223,40.2035,
223.5,107.247,223.5,40.2028,
224,107.264,224,40.2022,
224.5,107.282,224.5,40.2017,
225,107.299,225,40.201,
225.5,107.316,225.5,40.2004,
226,107.334,226,40.2,
226.5,107.351,226.5,40.1993,
227,107.368,227,40.1987,
227.5,107.385,227.5,40.1981,
228,107.403,228,40.1974,
228.5,107.42,228.5,40.1969,
229,107.437,229,40.1963,
229.5,107.454,229.5,40.1957,
230,107.472,230,40.1951,
230.5,107.489,230.5,40.1944,
231,107.506,231,40.1938,
231.5,107.524,231.5,40.1932,
232,107.541,232,40.1926,
232.5,107.558,232.5,40.192,
233,107.575,233,40.1914,
233.5,107.593,233.5,40.1908,
234,107.61,234,40.1902,
234.5,107.627,234.5,40.1895,
235,107.645,235,40.1889,
235.5,107.662,235.5,40.1883,
236,107.679,236,40.1877,
236.5,107.696,236.5,40.1871,
237,107.714,237,40.1865,
237.5,107.731,237.5,40.1857,
238,107.748,238,40.1852,
238.5,107.766,238.5,40.1846,
239,107.783,239,40.1841,
239.5,107.8,239.5,40.1834,
240,107.817,240,40.1828,
240.5,107.835,240.5,40.1822,
241,107.852,241,40.1815,
241.5,107.869,241.5,40.181,
242,107.886,242,40.1803,
242.5,107.904,242.5,40.1796,
243,107.921,243,40.179,
243.5,107.938,243.5,40.1784,
244,107.956,244,40.1778,
244.5,107.973,244.5,40.1773,
245,107.99,245,40.1766,
245.5,108.007,245.5,40.1761,
246,108.025,246,40.1755,
246.5,108.042,246.5,40.1748,
247,108.059,247,40.1743,
247.5,108.076,247.5,40.1737,
248,108.094,248,40.1731,
248.5,108.111,248.5,40.1725,
249,108.128,249,40.1718,
249.5,108.145,249.5,40.1713,
250,108.163,250,40.1707,
250.5,108.18,250.5,40.1701,
251,108.197,251,40.1695,
251.5,108.215,251.5,40.1688,
252,108.232,252,40.1684,
252.5,108.249,252.5,40.1677,
253,108.266,253,40.1672,
253.5,108.284,253.5,40.1665,
254,108.301,254,40.1659,
254.5,108.318,254.5,40.1653,
255,108.335,255,40.1647,
255.5,108.352,255.5,40.1642,
256,108.37,256,40.1636,
256.5,108.387,256.5,40.1631,
257,108.404,257,40.1625,
257.5,108.421,257.5,40.162,
258,108.439,258,40.1614,
258.5,108.456,258.5,40.1609,
259,108.473,259,40.1603,
259.5,108.49,259.5,40.1597,
260,108.508,260,40.1591,
260.5,108.525,260.5,40.1586,
261,108.542,261,40.158,
261.5,108.559,261.5,40.1575,
262,108.577,262,40.157,
262.5,108.594,262.5,40.1564,
263,108.611,263,40.1557,
263.5,108.628,263.5,40.1552,
264,108.645,264,40.1547,
264.5,108.662,264.5,40.1542,
265,108.68,265,40.1537,
265.5,108.697,265.5,40.1531,
266,108.714,266,40.1526,
266.5,108.731,266.5,40.152,
267,108.749,267,40.1516,
267.5,108.766,267.5,40.151,
268,108.783,268,40.1504,
268.5,108.8,268.5,40.1499,
269,108.817,269,40.1495,
269.5,108.835,269.5,40.149,
270,108.852,270,40.1484,
270.5,108.869,270.5,40.148,
271,108.886,271,40.1473,
271.5,108.903,271.5,40.147,
272,108.92,272,40.1464,
272.5,108.938,272.5,40.1458,
273,108.955,273,40.1453,
273.5,108.972,273.5,40.1449,
274,108.989,274,40.1445,
274.5,109.006,274.5,40.144,
275,109.023,275,40.1434,
275.5,109.04,275.5,40.1429,
276,109.058,276,40.1425,
276.5,109.075,276.5,40.142,
277,109.092,277,40.1416,
277.5,109.109,277.5,40.1411,
278,109.126,278,40.1406,
278.5,109.143,278.5,40.1402,
279,109.16,279,40.1397,
279.5,109.177,279.5,40.1393,
280,109.195,280,40.1387,
280.5,109.212,280.5,40.1382,
281,109.229,281,40.1379,
281.5,109.246,281.5,40.1374,
282,109.263,282,40.137,
282.5,109.28,282.5,40.1364,
283,109.297,283,40.1361,
283.5,109.315,283.5,40.1357,
284,109.332,284,40.1351,
284.5,109.349,284.5,40.1348,
285,109.366,285,40.1343,
285.5,109.383,285.5,40.1338,
286,109.4,286,40.1334,
286.5,109.417,286.5,40.133,
287,109.434,287,40.1326,
287.5,109.451,287.5,40.1321,
288,109.468,288,40.1317,
288.5,109.486,288.5,40.1312,
289,109.503,289,40.131,
289.5,109.52,289.5,40.1305,
290,109.537,290,40.13,
290.5,109.554,290.5,40.1296,
