time,A3364,time,B3085,time,C2805,time,D1964,,,,,,,time,,,,,,,,,,,
28.5,0.370707,28.5,0.370877,28.5,0.371628,28.5,0.37004,9.251,,1.098204932,0.336949862,8.423746546,8.394250574,28.5,8.463809767,211.5952442,43.6202  0.0738,,,24.86858003,0.3808624,,0.008941667,8.463809767,338.5523907
28.9999,0.37118,28.9999,0.371841,28.9999,0.371971,28.9999,0.371368,9.2842,,1.106812371,0.335529318,8.388232948,8.388175496,28.9999,8.478068733,211.9517183,44.175  0.0738,,,24.86339035,0.3816148,,0.009196667,8.478068733,339.1227493
29.5,0.372447,29.5,0.373516,29.5,0.374253,29.5,0.372793,9.319825,,1.106553524,0.336895588,8.422389699,8.463809767,29.5,8.539200215,213.4800054,44.7297  0.0755,,,24.85789285,0.383383,,0.009451667,8.539200215,341.5680086
29.9999,0.373848,29.9999,0.374433,29.9999,0.374656,29.9999,0.373783,9.344575,,1.083948039,0.344834795,8.620869876,8.478068733,29.9999,8.565289563,214.1322391,44.7297  0.0771,,,24.85245229,0.3842,,0.009708333,8.565289563,342.6115825
30.4999,0.374874,30.4999,0.375185,30.4999,0.375563,30.4999,0.375024,9.3756,,1.105511208,0.339231296,8.480782407,8.539200215,30.4999,8.540230949,213.5057737,45.2843  0.0787,,,24.84674599,0.3853992,,0.009981667,8.540230949,341.609238
30.9999,0.375611,30.9999,0.376487,30.9999,0.376953,30.9999,0.376073,9.401825,,1.089086946,0.345310355,8.632758877,8.565289563,30.9999,8.589687017,214.7421754,45.2843  0.0804,,,24.84121823,0.3866898,,0.010238333,8.589687017,343.5874807
31.5,0.376901,31.5,0.377496,31.5,0.37809,31.5,0.376792,9.4198,,1.104735475,0.341069884,8.526747092,8.540230949,31.5,8.587381212,214.6845303,45.8389  0.082,,,24.83507973,0.3878354,,0.010495,8.587381212,343.4952485
31.9999,0.378171,31.9999,0.378644,31.9999,0.378963,31.9999,0.377815,9.445375,,1.108529415,0.340825417,8.520635422,8.589687017,31.9999,8.640325906,216.0081477,45.8389  0.0836,,,24.8288977,0.3884698,,0.010753333,8.640325906,345.6130362
32.4999,0.378908,32.4999,0.379653,32.4999,0.380369,32.4999,0.378754,9.46885,,1.091056474,0.347144267,8.678606676,8.587381212,32.4999,8.67229981,216.8074953,46.3936  0.0853,,,24.82300451,0.3897492,,0.01101,8.67229981,346.8919924
32.9999,0.379835,32.9999,0.380506,32.9999,0.380688,32.9999,0.379806,9.49515,,1.101073896,0.344941426,8.623535657,8.640325906,32.9999,8.700267108,217.5066777,46.3936  0.0869,,,24.81685036,0.3904844,,0.011268333,8.700267108,348.0106843
33.5,0.380974,33.5,0.381225,33.5,0.382176,33.5,0.380523,9.513075,,1.088636132,0.349541035,8.73852587,8.67229981,33.5,8.744256973,218.6064243,46.9482  0.0885,,,24.81046754,0.3915894,,0.011528333,8.744256973,349.7702789
